scale,arm,n_rows,n_segments,component,bytes,bytes_per_vector,share_of_loaded,loaded_bytes,basis,note
1m,rabitq_refine_sq8_k10,1000000,6,ivf_coarse_centroids,97847542,97.85,0.0728,1343996052,inferred_1m,residual after the 10M-identified constants; implies 3981 centroids/segment over 6 uneven uncompacted segments (configured nlist=4096)
1m,rabitq_refine_sq8_k10,1000000,6,unexplained_residual,0,0.0,0.0,1343996052,residual,index_files_bytes minus the modelled components
1m,rabitq_refine_sq8_k10,1000000,6,segment_heap,56750228,56.75,0.0422,1343996052,measured,Milvus pk/stats heap per row; index-independent
1m,rabitq_refine_sq8_k2,1000000,6,quantized_codes_plus_sq8_refine_copy,1152000000,1152.0,0.8636,1333887134,derived,"1152 B/vector x 1,000,000 rows"
1m,rabitq_refine_sq8_k2,1000000,6,row_ids,8000000,8.0,0.006,1333887134,derived,int64 row id per vector in the inverted list
1m,rabitq_refine_sq8_k2,1000000,6,rabitq_per_vector_factors,29398282,29.4,0.022,1333887134,derived_10m,"fp32 estimator factors; identified at 10M, applied at both scales"
1m,rabitq_refine_sq8_k2,1000000,6,ivf_coarse_centroids,87738614,87.74,0.0658,1333887134,inferred_1m,residual after the 10M-identified constants; implies 3570 centroids/segment over 6 uneven uncompacted segments (configured nlist=4096)
1m,rabitq_refine_sq8_k2,1000000,6,unexplained_residual,0,0.0,0.0,1333887134,residual,index_files_bytes minus the modelled components
1m,rabitq_refine_sq8_k2,1000000,6,segment_heap,56750238,56.75,0.0425,1333887134,measured,Milvus pk/stats heap per row; index-independent
1m,rabitq_refine_sq8_k5,1000000,5,quantized_codes_plus_sq8_refine_copy,1152000000,1152.0,0.8702,1323798678,derived,"1152 B/vector x 1,000,000 rows"
1m,rabitq_refine_sq8_k5,1000000,5,row_ids,8000000,8.0,0.006,1323798678,derived,int64 row id per vector in the inverted list
1m,rabitq_refine_sq8_k5,1000000,5,rabitq_per_vector_factors,29398282,29.4,0.0222,1323798678,derived_10m,"fp32 estimator factors; identified at 10M, applied at both scales"
1m,rabitq_refine_sq8_k5,1000000,5,ivf_coarse_centroids,77650166,77.65,0.0587,1323798678,inferred_1m,residual after the 10M-identified constants; implies 3792 centroids/segment over 5 uneven uncompacted segments (configured nlist=4096)
1m,rabitq_refine_sq8_k5,1000000,5,unexplained_residual,0,0.0,0.0,1323798678,residual,index_files_bytes minus the modelled components
1m,rabitq_refine_sq8_k5,1000000,5,segment_heap,56750230,56.75,0.0429,1323798678,measured,Milvus pk/stats heap per row; index-independent
