scale,arm,n_rows,n_segments,component,bytes,bytes_per_vector,share_of_loaded,loaded_bytes,basis,note
10m,rabitq_refine_sq8_k2,10000000,41,row_ids,80000000,8.0,0.0061,13150414396,derived,int64 row id per vector in the inverted list
10m,rabitq_refine_sq8_k2,10000000,41,rabitq_per_vector_factors,293982822,29.4,0.0224,13150414396,derived_10m,"fp32 estimator factors; identified at 10M, applied at both scales"
10m,rabitq_refine_sq8_k2,10000000,41,ivf_coarse_centroids,687865856,68.79,0.0523,13150414396,derived,41 uniform segments x nlist=4096 x 1024d fp32; unclamped (rows/segment >= 39 x nlist)
10m,rabitq_refine_sq8_k2,10000000,41,unexplained_residual,1063322,0.11,0.0001,13150414396,residual,index_files_bytes minus the modelled components
10m,rabitq_refine_sq8_k2,10000000,41,segment_heap,567502396,56.75,0.0432,13150414396,measured,Milvus pk/stats heap per row; index-independent
10m,rabitq_refine_sq8_k5,10000000,41,quantized_codes_plus_sq8_refine_copy,11520000000,1152.0,0.876,13150414396,derived,"1152 B/vector x 10,000,000 rows"
10m,rabitq_refine_sq8_k5,10000000,41,row_ids,80000000,8.0,0.0061,13150414396,derived,int64 row id per vector in the inverted list
10m,rabitq_refine_sq8_k5,10000000,41,rabitq_per_vector_factors,293982822,29.4,0.0224,13150414396,derived_10m,"fp32 estimator factors; identified at 10M, applied at both scales"
10m,rabitq_refine_sq8_k5,10000000,41,ivf_coarse_centroids,687865856,68.79,0.0523,13150414396,derived,41 uniform segments x nlist=4096 x 1024d fp32; unclamped (rows/segment >= 39 x nlist)
10m,rabitq_refine_sq8_k5,10000000,41,unexplained_residual,1063322,0.11,0.0001,13150414396,residual,index_files_bytes minus the modelled components
10m,rabitq_refine_sq8_k5,10000000,41,segment_heap,567502396,56.75,0.0432,13150414396,measured,Milvus pk/stats heap per row; index-independent
