qid,provenance_titles
1114,English Language Proficiency Test|Test of English as a Foreign Language
1158,Hansen (surname)|Surname
1427,Bhanubhakta Ramayana|Ramayana
1463,What the World Needs Now Is Love
1466,Alzheimer's disease
1520,Winnie the Pooh (Disney character)|Winnie-the-Pooh
1527,Orcus|Pluto (mythology)|Saturn (mythology)
1626,Capital punishment in New York|Eddie Lee Mays|Nelson Rockefeller
1627,Naz Khialvi
1630,Pledge of Allegiance
1641,Daylight saving time|Daylight saving time in Canada
1661,Barney Miller (season 6)|Barney Miller (season 7)|Days Gone Bye (The Walking Dead)
1770,History of bottle recycling in the United States|Toilet (room)
1777,Oklahoma|San Juan Mountains|San Juan River (Colorado River tributary)
1785,Castle|Castles in Great Britain and Ireland
1799,East India Company|East India Company (disambiguation)
1859,Be Thankful for What You Got|Be Thankful for What You Got (album)|William DeVaughn discography
1874,Early impact of Mesoamerican goods in Iberian society|History of chocolate|History of chocolate in Spain
1875,1824 United States presidential election|1824 United States presidential election in Pennsylvania
1906,List of United States presidential elections by Electoral College margin|President of the United States|United States Electoral College
1916,1912 Ohio State Buckeyes football team|Big Ten Conference
1933,Nancy Cartwright|Nelson Muntz
1967,Red Dead Redemption
2064,"Tri-Cities, Washington"
2078,The Ten Commandments (1956 film)
2108,Mount Ruapehu
2134,Koch's postulates
2145,2019 Kansas City Chiefs season|Super Bowl LII|Super Bowl LII halftime show
2167,Deadpool 2
2172,Thorin Oakenshield
2226,Mélusine (novel)|The Novice (novel)|The Secrets of the Immortal Nicholas Flamel|The Tears of Artamon
2263,1998 in spaceflight|International Space Station|International Space Station program
2284,Cellular respiration|Respiratory system
2295,Financial management
2337,198889 Michigan Wolverines men's basketball team|List of Michigan Wolverines men's basketball head coaches|Michigan Wolverines men's basketball
2398,Iron ore mining in Western Australia
2404,Nicknames of Philadelphia|Philadelphia
2458,List of best-selling music artists|Record sales
2468,Sex and the City
2469,The Artist Toolbox|Traveling Wilburys
2495,Party leaders of the United States Senate
2501,Chlorofluorocarbon
2502,Boy Scouts of America
2504,History of laws concerning immigration and naturalization in the United States
2528,I Dig Rock and Roll Music
2531,History of New Brunswick|Jacques Cartier
2611,Star Destroyer
2632,From Russia with Love (soundtrack)|Production of the James Bond films
2633,Tyrann Mathieu
2665,1930 FIFA World Cup|FIFA World Cup hosts
2728,Maleficent (film)|Once Upon a Dream (Sleeping Beauty song)|Sleeping Beauty (1959 film)
2730,The Great Gatsby
2778,Grand Canyon|Provo Canyon
2781,File Transfer Protocol
2896,199899 Toronto Maple Leafs season|Toronto Maple Leafs|Toronto Maple Leafs (disambiguation)
2899,Encyclopedia of Recorded Sound|Music technology (electric)|North American Phonograph Company|Phonograph
3076,Kal Ho Naa Ho (song)
3081,Of Mice and Men|Of Mice and Men (play)
3095,The Detour (TV series)
3153,Santa Claus|Santa Claus: A Morality|Sinterklaas
3204,Genetics in fiction|Jacques Mering|James Watson (disambiguation)|Semiconservative replication
3224,Medicaid|Patient Protection and Affordable Care Act|Social Security Amendments of 1965
3258,Jonathan Cheban|Keeping Up with the Kardashians
3282,United Nations Conference on Sustainable Development
3310,Physical layer
3348,2018 FIFA World Cup
3362,Sagrada Família
3417,Archie Marries Veronica/Archie Marries Betty|Betty Cooper
3478,Imagine Dragons
3503,King Lear
3558,I Love Lucy|Richard Keith (actor)|Ricky Ricardo Jr.
3568,"List of Nicky, Ricky, Dicky & Dawn episodes|Nicky, Ricky, Dicky & Dawn"
3570,List of The Fall characters
3591,List of Pro Football Hall of Fame inductees|Madden NFL 19|Pro Football Hall of Fame
3606,Gossip Girl
3609,Comanche|Comanche history|Comanche language
